ID,Complaint,Department
7717,No security personnel at the public park in the housing board colony,Public Safety
7718,Noise pollution from construction near Station Road at night,Environment
7719,Primary health center in Sector 5 is understaffed,Health
7720,Road divider near Market Road is broken,Road Maintenance
7721,Bus service is irregular on the Sector 5 route,Public Transport
7722,Dark stretch on Bazaar Street due to broken street lights,Street Lighting
7723,Last bus timing has been cancelled for Nungambakkam,Public Transport
7724,Official at the Egmore office is demanding money for a certificate,Corruption
7725,"New street light pole is needed on Nehru Street, Perambur",Street Lighting
7726,Air pollution levels are high near the factory in T Nagar,Environment
7727,Burning of waste is causing smoke in Velachery,Environment
7728,Bus stop shelter near Station Road is damaged,Public Transport
7729,Water body near Tambaram is being polluted by industrial waste,Environment
7730,Waterlogging occurs on MG Road during rains,Road Maintenance
7731,Encroachment on the lake near Ward 12 is destroying wetlands,Environment
7732,School building near Ring Road needs urgent repair,Education
7733,Bus service is irregular on the Ambattur route,Public Transport
7734,Open manhole causing danger on South Street in Anna Nagar,Public Safety
7735,Abandoned building near Main Road is unsafe for children,Public Safety
7736,Street light flickers continuously on Gandhi Street,Street Lighting
7737,Overcrowded classrooms reported in T Nagar government school,Education
7738,Last bus timing has been cancelled for the industrial estate,Public Transport
7739,A municipal worker is taking bribes for water connection approvals in near the temple,Corruption
7740,No specialist doctor visits the Nungambakkam health center,Health
7741,Water pipe burst near School Lane in Nungambakkam,Water Supply
7742,Speed breakers are missing near the school on School Lane,Road Maintenance
7743,Overhead tank in Egmore has not been cleaned in months,Water Supply
7744,Garbage collection truck has not come to Alwarpet for 2 days,Waste Management
7745,Primary health center in Kodambakkam is understaffed,Health
7746,Traffic signal timing is too short at Nehru Street,Traffic
7747,Plastic waste dumped near the water body in Royapettah,Environment
7748,No science teacher appointed at Ward 12 school for 11 months,Education
7749,Hospital in near the temple lacks cleanliness and hygiene,Health
7750,Newly laid road on Bazaar Street is already damaged,Road Maintenance
7751,A contractor is taking bribes for water connection approvals in Alwarpet,Corruption
7752,7 street lights have been off for weeks near Ring Road,Street Lighting
7753,Air pollution levels are high near the factory in Ward 12,Environment
7754,Primary health center in the industrial estate is understaffed,Health
7755,Electric pole near South Street is leaning dangerously,Electricity
7756,Illegal dumping of waste is happening near Ring Road,Waste Management
7757,Street lights are not working on Nehru Street in Velachery,Street Lighting
7758,Speed breakers are missing near the school on South Street,Road Maintenance
7759,"New street light pole is needed on School Lane, the old bus stand area",Street Lighting
7760,Road near Ring Road has not been repaired after monsoon,Road Maintenance
7761,Primary health center in Guindy is understaffed,Health
7762,No science teacher appointed at Ward 12 school for 12 months,Education
7763,Overhead tank in Sector 5 has not been cleaned in months,Water Supply
7764,Streetside electric meter is sparking in Alwarpet,Electricity
7765,No waste collection service provided in Perambur colony,Waste Management
7766,Public dustbin near South Street is broken and overflowing,Waste Management
7767,Road divider near Park Avenue is broken,Road Maintenance
7768,Someone demanded a bribe for approval of a document in Chromepet,Corruption
7769,Noise pollution from construction near Bypass Road at night,Environment
7770,Dark stretch on School Lane due to broken street lights,Street Lighting
7771,"New street light pole is needed on South Street, Egmore",Street Lighting
7772,Power supply tripped and not restored for 15 hours in the panchayat office area,Electricity
7773,Auto drivers are refusing to use the meter near Bazaar Street,Public Transport
7774,Illegal dumping of waste is happening near Bypass Road,Waste Management
7775,Live wire lying on South Street poses electrocution risk,Public Safety
7776,No bus service available to Kolathur after 8 pm,Public Transport
7777,Official at the Ambattur office is demanding money for a certificate,Corruption
7778,Garbage collection truck has not come to Velachery for 8 days,Waste Management
7779,Vaccination camp was cancelled without notice in Kolathur,Health
7780,Illegal parking is causing traffic jams on South Street,Traffic
7781,Illegal tree cutting is happening near MG Road in the government school area,Environment
7782,Deep pit left uncovered near Church Street in Saidapet,Public Safety
7783,A contractor asked for extra money to process ration card in Pallavaram,Corruption
7784,No traffic police present at busy junction near School Lane,Traffic
7785,Burning of waste is causing smoke in Adyar,Environment
7786,Contaminated water is being supplied in Mylapore,Water Supply
7787,Public dustbin near School Lane is broken and overflowing,Waste Management
7788,Corruption reported in distribution of government scheme benefits in Chromepet,Corruption
7789,"Traffic signal is damaged at Market Road junction, the railway station road",Traffic
7790,Plastic waste dumped near the water body in Anna Nagar,Environment
7791,"No footpath available on Market Road, pedestrians face danger",Road Maintenance
7792,Water tanker did not arrive in Guindy as scheduled,Water Supply
7793,Primary health center in Saidapet is understaffed,Health
7794,Leaking pipeline is wasting water on MG Road,Water Supply
7795,Ambulance service is delayed in Nungambakkam,Health
7796,Money was demanded for processing a pension application in Royapettah,Corruption
7797,"Street lights remain on during daytime in Ward 12, wasting power",Street Lighting
7798,School lacks drinking water facility in Vadapalani,Education
7799,Textbooks not distributed on time in Pallavaram schools,Education
7800,Speed breakers are missing near the school on MG Road,Road Maintenance
7801,Someone demanded a bribe for approval of a document in Sector 5,Corruption
7802,Water supply has been irregular in the industrial estate for 10 weeks,Water Supply
7803,School in the railway station road lacks proper toilet facilities,Education
7804,A local shopkeeper is taking bribes for water connection approvals in Adyar,Corruption
7805,Solar street lights installed in the main market road are non functional,Street Lighting
7806,Electric pole near Main Road is leaning dangerously,Electricity
7807,An officer at the counter is taking bribes for water connection approvals in near the temple,Corruption
7808,Frequent traffic congestion on Park Avenue during peak hours,Traffic
7809,No specialist doctor visits the Kolathur health center,Health
7810,Broken compound wall near Station Road is a safety hazard,Public Safety
7811,Dark stretch on School Lane due to broken street lights,Street Lighting
7812,Electricity is unavailable in Royapettah for the past 8 days,Electricity
7813,"No footpath available on South Street, pedestrians face danger",Road Maintenance
7814,Illegal sand mining reported near Phase 2,Environment
7815,Stray dogs are attacking residents in Royapettah,Public Safety
7816,Bus conductor misbehaved with passengers on the railway station road route,Public Transport
7817,Street light flickers continuously on North Street,Street Lighting
