Complaint,Department,Label
"Traffic signal is damaged at Main Road junction, the panchayat office area",Traffic,9
8 street lights have been off for weeks near Temple Street,Street Lighting,8
Vaccination camp was cancelled without notice in Alwarpet,Health,4
Waterlogging occurs on School Lane during rains,Road Maintenance,7
Unsafe construction site near Church Street lacks barricades,Public Safety,5
New electricity connection is delayed in Mylapore,Electricity,2
Traffic signal timing is too short at Church Street,Traffic,9
Water body near near the temple is being polluted by industrial waste,Environment,3
Corruption reported in distribution of government scheme benefits in the government school area,Corruption,0
Power supply tripped and not restored for 14 hours in Vadapalani,Electricity,2
Dumping ground near the government school area is causing bad odor,Waste Management,10
Transformer near North Street in Ward 12 is not working,Electricity,2
Signboards are missing at the MG Road intersection,Traffic,9
Power supply tripped and not restored for 11 hours in Sector 5,Electricity,2
School lacks drinking water facility in the government school area,Education,1
Public dustbin near Main Road is broken and overflowing,Waste Management,10
Illegal dumping of waste is happening near Station Road,Waste Management,10
No science teacher appointed at Sector 5 school for 15 months,Education,1
Water body near Pallavaram is being polluted by industrial waste,Environment,3
"Street lights remain on during daytime in near the temple, wasting power",Street Lighting,8
"Street lights remain on during daytime in Tambaram, wasting power",Street Lighting,8
Overcrowded classrooms reported in Nungambakkam government school,Education,1
Overhead tank in the old bus stand area has not been cleaned in months,Water Supply,11
Noise pollution from construction near Bypass Road at night,Environment,3
Live wire lying on Bypass Road poses electrocution risk,Public Safety,5
Deep pit left uncovered near Church Street in the main market road,Public Safety,5
Traffic signal timing is too short at Bypass Road,Traffic,9
Dead animal left uncollected on Bazaar Street in Vadapalani,Waste Management,10
Long waiting times reported at Perambur government hospital,Health,4
Borewell in the housing board colony has run dry,Water Supply,11
Government hospital near Main Road lacks basic medicines,Health,4
Transformer near Ring Road in the panchayat office area is not working,Electricity,2
Traffic signal timing is too short at Ring Road,Traffic,9
Textbooks not distributed on time in the old bus stand area schools,Education,1
Garbage collection truck has not come to Adyar for 13 days,Waste Management,10
Leaking pipeline is wasting water on Park Avenue,Water Supply,11
"New street light pole is needed on South Street, Kolathur",Street Lighting,8
Traffic signal timing is too short at Market Road,Traffic,9
"Traffic signal is damaged at Nehru Street junction, Ward 12",Traffic,9
Power supply tripped and not restored for 6 hours in Perambur,Electricity,2
No specialist doctor visits the the housing board colony health center,Health,4
Public dustbin near Main Road is broken and overflowing,Waste Management,10
No security personnel at the public park in Ward 12,Public Safety,5
"No footpath available on Station Road, pedestrians face danger",Road Maintenance,7
Stray dogs are attacking residents in T Nagar,Public Safety,5
School lacks drinking water facility in Velachery,Education,1
Waterlogging occurs on Nehru Street during rains,Road Maintenance,7
Garbage collection truck has not come to Kolathur for 4 days,Waste Management,10
Voltage fluctuation is damaging appliances in Alwarpet,Electricity,2
Illegal parking is causing traffic jams on Bypass Road,Traffic,9
"No footpath available on Gandhi Street, pedestrians face danger",Road Maintenance,7
Signboards are missing at the Ring Road intersection,Traffic,9
Plastic waste dumped near the water body in T Nagar,Environment,3
Water pipe burst near Ring Road in Adyar,Water Supply,11
Water tanker did not arrive in Tambaram as scheduled,Water Supply,11
Bus stop shelter near MG Road is damaged,Public Transport,6
Official at the Kolathur office is demanding money for a certificate,Corruption,0
No waste collection service provided in Egmore colony,Waste Management,10
Someone demanded a bribe for approval of a document in the housing board colony,Corruption,0
Plastic waste dumped near the water body in the housing board colony,Environment,3
Garbage collection truck has not come to the old bus stand area for 13 days,Waste Management,10
Waterlogging occurs on School Lane during rains,Road Maintenance,7
7 street lights have been off for weeks near Bazaar Street,Street Lighting,8
No specialist doctor visits the Ambattur health center,Health,4
Broken compound wall near School Lane is a safety hazard,Public Safety,5
School in Ambattur lacks proper toilet facilities,Education,1
Illegal sand mining reported near the old bus stand area,Environment,3
Overcrowded buses are running on the Anna Nagar route,Public Transport,6
Live wire lying on Station Road poses electrocution risk,Public Safety,5
Road near Bazaar Street has not been repaired after monsoon,Road Maintenance,7
"Low water pressure reported near Market Road, Ambattur",Water Supply,11
"Traffic signal is damaged at Station Road junction, the housing board colony",Traffic,9
"New street light pole is needed on Bypass Road, the main market road",Street Lighting,8
Government hospital near Temple Street lacks basic medicines,Health,4
Corruption reported in distribution of government scheme benefits in the government school area,Corruption,0
"Street lights remain on during daytime in Phase 2, wasting power",Street Lighting,8
Overcrowded classrooms reported in Sector 5 government school,Education,1
Street light wiring is exposed and dangerous in Ward 12,Street Lighting,8
Hospital in the panchayat office area has no doctors available,Health,4
Leaking pipeline is wasting water on School Lane,Water Supply,11
Zebra crossing markings have faded on School Lane,Traffic,9
Overcrowded buses are running on the the railway station road route,Public Transport,6
Dead animal left uncollected on Bazaar Street in the housing board colony,Waste Management,10
No waste collection service provided in the main market road colony,Waste Management,10
Overhead tank in Mylapore has not been cleaned in months,Water Supply,11
Encroachment on the lake near the industrial estate is destroying wetlands,Environment,3
Huge potholes on Market Road in T Nagar,Road Maintenance,7
Power supply tripped and not restored for 15 hours in the government school area,Electricity,2
Road near School Lane has not been repaired after monsoon,Road Maintenance,7
Frequent power cuts are occurring in near the temple,Electricity,2
Government hospital near North Street lacks basic medicines,Health,4
Hospital in Velachery has no doctors available,Health,4
Construction debris left on Market Road blocking traffic,Road Maintenance,7
Power supply tripped and not restored for 7 hours in Adyar,Electricity,2
Signboards are missing at the Temple Street intersection,Traffic,9
Corruption reported in distribution of government scheme benefits in Royapettah,Corruption,0
Construction debris left on Bazaar Street blocking traffic,Road Maintenance,7
Water body near Ward 12 is being polluted by industrial waste,Environment,3
Ambulance service is delayed in Chromepet,Health,4
Frequent traffic congestion on MG Road during peak hours,Traffic,9
Primary health center in Anna Nagar is understaffed,Health,4
Illegal sand mining reported near Kolathur,Environment,3
Mid day meal quality is poor at the industrial estate school,Education,1
Electricity is unavailable in Mylapore for the past 7 days,Electricity,2
Road divider near North Street is broken,Road Maintenance,7
Huge potholes on Nehru Street in Saidapet,Road Maintenance,7
